Gu,Dong,Hospital
강남구,도곡동,1
강남구,역삼동,1
강남구,일원동,1
강동구,길동,1
강동구,둔촌동,1
강동구,상일동,1
강북구,수유동,1
강서구,과해동,1
강서구,내발산동,1
강서구,등촌동,1
강서구,마곡동,1
관악구,신림동,1
광진구,자양동,1
광진구,화양동,1
구로구,고척동,1
구로구,구로동,1
금천구,시흥동,1
노원구,공릉동,1
노원구,상계동,1
노원구,하계동,1
도봉구,쌍문동,1
동대문구,용두동,1
동대문구,청량리동,1
동대문구,회기동,1
동대문구,휘경동,1
동작구,신대방동,1
동작구,흑석동,1
서대문구,신촌동,1
서대문구,홍은동,1
서초구,반포동,1
성동구,사근동,1
성북구,안암동5가,1
송파구,가락동,1
송파구,풍납동,1
양천구,목동,1
양천구,신정동,2
영등포구,대림동,3
영등포구,신길동,1
영등포구,여의도동,1
영등포구,영등포동4가,1
영등포구,영등포동7가,1
용산구,한남동,1
은평구,갈현동,1
은평구,진관동,1
종로구,무악동,1
종로구,연건동,1
종로구,평동,2
중구,을지로6가,1
중구,저동2가,1
중랑구,망우동,1
중랑구,면목동,1
중랑구,신내동,1
