시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일
서울특별시 강남구 개포동,655-2,655,2,개포2차현대아파트(220),77.75,202104,15,174000 ,9,1988,언주로 103,
서울특별시 강남구 개포동,658-1,658,1,개포6차우성아파트1동~8동,79.97,202105,15,195000 ,5,1987,언주로 3,
서울특별시 강남구 개포동,1282,1282,0,개포래미안포레스트,59.92,202105,22,198500 ,18,2020,개포로 264,20210526
서울특별시 강남구 개포동,1282,1282,0,개포래미안포레스트,49.92,202105,22,180000 ,7,2020,개포로 264,20210526
서울특별시 강남구 개포동,1282,1282,0,개포래미안포레스트,59.92,202106,13,210000 ,5,2020,개포로 264,
서울특별시 강남구 개포동,1282,1282,0,개포래미안포레스트,49.92,202106,15,185000 ,6,2020,개포로 264,
서울특별시 강남구 개포동,652,652,0,개포우성3차,104.43,202101,5,220000 ,3,1984,개포로 307,
서울특별시 강남구 개포동,652,652,0,개포우성3차,104.43,202101,5,220000 ,3,1984,개포로 307,20210201
서울특별시 강남구 개포동,652,652,0,개포우성3차,104.43,202101,11,220000 ,8,1984,개포로 307,
서울특별시 강남구 개포동,652,652,0,개포우성3차,104.43,202101,25,145000 ,6,1984,개포로 307,
서울특별시 강남구 개포동,652,652,0,개포우성3차,104.43,202102,9,145000 ,6,1984,개포로 307,20210223
서울특별시 강남구 개포동,652,652,0,개포우성3차,161,202104,13,323000 ,3,1984,개포로 307,
서울특별시 강남구 개포동,652,652,0,개포우성3차,104.43,202104,30,225000 ,14,1984,개포로 307,
서울특별시 강남구 개포동,652,652,0,개포우성3차,133.46,202105,4,289000 ,4,1984,개포로 307,
서울특별시 강남구 개포동,652,652,0,개포우성3차,161,202106,14,365000 ,10,1984,개포로 307,
서울특별시 강남구 개포동,652,652,0,개포우성3차,104.43,202107,13,245000 ,14,1984,개포로 307,
서울특별시 강남구 개포동,12월 02일,12,2,개포자이(12-2),134.3,202101,13,239500 ,8,2004,개포로109길 69,
서울특별시 강남구 개포동,12월 02일,12,2,개포자이(12-2),134.3,202101,21,200000 ,13,2004,개포로109길 69,
서울특별시 강남구 개포동,12월 02일,12,2,개포자이(12-2),170.32,202101,30,270000 ,19,2004,개포로109길 69,
서울특별시 강남구 개포동,12월 02일,12,2,개포자이(12-2),153.8,202105,11,260000 ,21,2004,개포로109길 69,
서울특별시 강남구 개포동,12월 02일,12,2,개포자이(12-2),134.3,202105,19,239850 ,6,2004,개포로109길 69,
서울특별시 강남구 개포동,12월 02일,12,2,개포자이(12-2),170.32,202105,27,260000 ,6,2004,개포로109길 69,
